#TRACK_CODE,#RJ-CODE,#CV_IDS,#TAG_IDS,#SERIES_IDS,#ENG-NAME,#JAP-NAME,#THUMBNAIL,#IMAGES,#AUDIOS,#ADDITIONAL_URLS
19178,RJ276886,"1","1-2-3-4","1","Ripe Woman 12: Another Friend’s Mother","熟れた女12:友だちのお母さん 2人目","1->19178(0)","","2->19178t1",""
41099,RJ316856,"9","34-1-9-12","","Give your rich semen to erotic gal JK’s lewd damman!!","エロギャルJKのドスケベタダマンにあなたの濃厚ザーメンを!!【フォーリーサウンド】","1->41099(0)","1->41099","2->%E3%82%A8%E3%83%AD%E3%82%AE%E3%83%A3%E3%83%ABJK%E3%81%AE%E3%83%89%E3%82%B9%E3%82%B1%E3%83%99%E3%82%BF%E3%83%80%E3%83%9E%E3%83%B3%E3%81%AB%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E6%BF%83%E5%8E%9A%E3%82%B6%E3%83%BC%E3%83%A1%E3%83%B3%E3%82%92!!%E3%80%90%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AA%E3%83%BC%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%80%91%20track1%20%E2%80%93%20Japanese%20ASMR.mp3,2->%E3%82%A8%E3%83%AD%E3%82%AE%E3%83%A3%E3%83%ABJK%E3%81%AE%E3%83%89%E3%82%B9%E3%82%B1%E3%83%99%E3%82%BF%E3%83%80%E3%83%9E%E3%83%B3%E3%81%AB%E3%81%82%E3%81%AA%E3%81%9F%E3%81%AE%E6%BF%83%E5%8E%9A%E3%82%B6%E3%83%BC%E3%83%A1%E3%83%B3%E3%82%92!!%E3%80%90%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AA%E3%83%BC%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%80%91%20track2%E2%80%93%20Japanese%20ASMR.mp3",""
72371,RJ437091,"9","34-1-36-9-20-12-13","","All the semen you can get on the erotic girl JK","エロギャルJKのドスケベタダマンにありったけのザーメンを【フォーリーサウンド】","1->72371(0)","1->72371","2->%E3%82%A8%E3%83%AD%E3%82%AE%E3%83%A3%E3%83%ABJK%E3%81%AE%E3%83%89%E3%82%B9%E3%82%B1%E3%83%99%E3%82%BF%E3%83%80%E3%83%9E%E3%83%B3%E3%81%AB%E3%81%82%E3%82%8A%E3%81%A3%E3%81%9F%E3%81%91%E3%81%AE%E3%82%B6%E3%83%BC%E3%83%A1%E3%83%B3%E3%82%92%E3%80%90%E3%83%95%E3%82%A9%E3%83%BC%E3%83%AA%E3%83%BC%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%80%91%20%E2%80%93%20Japanese%20ASMR.mp3",""
45123,RJ315439,"10","5-32-6-37","","A voice that a sister-in-law who is straight in love kisses and fucks raw with plenty of affection","まっすぐに好意を寄せてくる義妹がキスと愛情たっぷりに生ハメ交尾してくれる音声","1->45123(0)","5->b2569be9-e7dd-4823-ae8b-aba6f5d267ba.image.png,1->ed5aa786-8863-47a1-b314-286be88432d1.image.png","2->%E3%81%BE%E3%81%A3%E3%81%99%E3%81%90%E3%81%AB%E5%A5%BD%E6%84%8F%E3%82%92%E5%AF%84%E3%81%9B%E3%81%A6%E3%81%8F%E3%82%8B%E7%BE%A9%E5%A6%B9%E3%81%8C%E3%82%AD%E3%82%B9%E3%81%A8%E6%84%9B%E6%83%85%E3%81%9F%E3%81%A3%E3%81%B7%E3%82%8A%E3%81%AB%E7%94%9F%E3%83%8F%E3%83%A1%E4%BA%A4%E5%B0%BE%E3%81%97%E3%81%A6%E3%81%8F%E3%82%8C%E3%82%8B%E9%9F%B3%E5%A3%B0%20%E2%80%93%20Japanese%20ASMR.mp3",""
76230,RJ430773,"11","5-19-1-6-38-9-27-33","","Immediately Iki Super Sensitive De S Echiechi With A Pussy She’s Cumming All The Time And Won’t Stop","即イキ超敏感ドSおまんこ持ちのえちえち彼女がずっと絶頂しててやめてくれない件","1->76230","1->76230","2->%E5%8D%B3%E3%82%A4%E3%82%AD%E8%B6%85%E6%95%8F%E6%84%9F%E3%83%89S%E3%81%8A%E3%81%BE%E3%82%93%E3%81%93%E6%8C%81%E3%81%A1%E3%81%AE%E3%81%88%E3%81%A1%E3%81%88%E3%81%A1%E5%BD%BC%E5%A5%B3%E3%81%8C%E3%81%9A%E3%81%A3%E3%81%A8%E7%B5%B6%E9%A0%82%E3%81%97%E3%81%A6%E3%81%A6%E3%82%84%E3%82%81%E3%81%A6%E3%81%8F%E3%82%8C%E3%81%AA%E3%81%84%E4%BB%B6%20%E2%80%93%20Japanese%20ASMR.mp3",""
74842,RJ01022104,"6","5-34-22-29-39-40","","Little bitch vampire ♪ Continuous vaginal cum shot with a cock erected by a female brat’s whispering voice","りとるびっちヴァンパイア♪ メスガキの囁きオホ声で勃起したチンポでぷにろりま〇こに連続中出し【KU100ハイレゾ】","1->74842(0)","1->74842 (1),1->74842 (2)","2->%E3%82%8A%E3%81%A8%E3%82%8B%E3%81%B3%E3%81%A3%E3%81%A1%E3%83%B4%E3%82%A1%E3%83%B3%E3%83%91%E3%82%A4%E3%82%A2%E2%99%AA%20%E3%83%A1%E3%82%B9%E3%82%AC%E3%82%AD%E3%81%AE%E5%9B%81%E3%81%8D%E3%82%AA%E3%83%9B%E5%A3%B0%E3%81%A7%E5%8B%83%E8%B5%B7%E3%81%97%E3%81%9F%E3%83%81%E3%83%B3%E3%83%9D%E3%81%A7%E3%81%B7%E3%81%AB%E3%82%8D%E3%82%8A%E3%81%BE%E3%80%87%E3%81%93%E3%81%AB%E9%80%A3%E7%B6%9A%E4%B8%AD%E5%87%BA%E3%81%97%E3%80%90KU100%E3%83%8F%E3%82%A4%E3%83%AC%E3%82%BE%E3%80%91%20%E2%80%93%20Japanese%20ASMR.mp3",""
71789,RJ432880,"12","32-6-22-28-41-42","","Mean Twins Endless Overkill Ejaculation Endurance Hell","【寸止め3時間超】意地悪な双子の終わらないオーバーキル射精我慢地獄【KU100】","1->71789(0)","1->71789 (1),1->71789 (2)","2->%E3%80%90%E5%AF%B8%E6%AD%A2%E3%82%813%E6%99%82%E9%96%93%E8%B6%85%E3%80%91%E6%84%8F%E5%9C%B0%E6%82%AA%E3%81%AA%E5%8F%8C%E5%AD%90%E3%81%AE%E7%B5%82%E3%82%8F%E3%82%89%E3%81%AA%E3%81%84%E3%82%AA%E3%83%BC%E3%83%90%E3%83%BC%E3%82%AD%E3%83%AB%E5%B0%84%E7%B2%BE%E6%88%91%E6%85%A2%E5%9C%B0%E7%8D%84%E3%80%90KU100%E3%80%91%20track%201%E2%80%93%20Japanese%20ASMR.mp3,2->%E3%80%90%E5%AF%B8%E6%AD%A2%E3%82%813%E6%99%82%E9%96%93%E8%B6%85%E3%80%91%E6%84%8F%E5%9C%B0%E6%82%AA%E3%81%AA%E5%8F%8C%E5%AD%90%E3%81%AE%E7%B5%82%E3%82%8F%E3%82%89%E3%81%AA%E3%81%84%E3%82%AA%E3%83%BC%E3%83%90%E3%83%BC%E3%82%AD%E3%83%AB%E5%B0%84%E7%B2%BE%E6%88%91%E6%85%A2%E5%9C%B0%E7%8D%84%20%E3%80%90KU100%E3%80%91track2%20%20%E2%80%93%20Japanese%20ASMR.mp3",""
77079,RJ01039982,"13","20-28-43-19","","White female executive’s female orgasm nipple remodeling ~7 days of being turned into a female due to persistent nipple torture~","【オナサポ】【乳首責め】白の女幹部のメスイキ乳首改造〜しつこい乳首責めでメスに堕とされる7日間〜","1->77079(0)","1->77079","2->%E3%80%90%E3%82%AA%E3%83%8A%E3%82%B5%E3%83%9D%E3%80%91%E3%80%90%E4%B9%B3%E9%A6%96%E8%B2%AC%E3%82%81%E3%80%91%E7%99%BD%E3%81%AE%E5%A5%B3%E5%B9%B9%E9%83%A8%E3%81%AE%E3%83%A1%E3%82%B9%E3%82%A4%E3%82%AD%E4%B9%B3%E9%A6%96%E6%94%B9%E9%80%A0%E3%80%9C%E3%81%97%E3%81%A4%E3%81%93%E3%81%84%E4%B9%B3%E9%A6%96%E8%B2%AC%E3%82%81%E3%81%A7%E3%83%A1%E3%82%B9%E3%81%AB%E5%A0%95%E3%81%A8%E3%81%95%E3%82%8C%E3%82%8B7%E6%97%A5%E9%96%93%E3%80%9C%20%E2%80%93%20Japanese%20ASMR.mp3",""
70249,RJ418151,"3","6-9-13-12-19","","Dirty stuffy stuffy huge breasted JK’s super close-fitting and snuggly sleep-sharing sex","【10月21日まで期間限定イラスト付き】ドスケベ蒸れ蒸れ爆乳JKの超密着ぬくぬく寝かしつけ添い寝えっち【超密着×添い寝×低音】","1->70249(0)","1->70249(1),1->70249(2)","2->%E3%80%9010%E6%9C%8821%E6%97%A5%E3%81%BE%E3%81%A7%E6%9C%9F%E9%96%93%E9%99%90%E5%AE%9A%E3%82%A4%E3%83%A9%E3%82%B9%E3%83%88%E4%BB%98%E3%81%8D%E3%80%91%E3%83%89%E3%82%B9%E3%82%B1%E3%83%99%E8%92%B8%E3%82%8C%E8%92%B8%E3%82%8C%E7%88%86%E4%B9%B3JK%E3%81%AE%E8%B6%85%E5%AF%86%E7%9D%80%E3%81%AC%E3%81%8F%E3%81%AC%E3%81%8F%E5%AF%9D%E3%81%8B%E3%81%97%E3%81%A4%E3%81%91%E6%B7%BB%E3%81%84%E5%AF%9D%E3%81%88%E3%81%A3%E3%81%A1%E3%80%90%E8%B6%85%E5%AF%86%E7%9D%80%C3%97%E6%B7%BB%E3%81%84%E5%AF%9D%C3%97%E4%BD%8E%E9%9F%B3%E3%80%91%20%E2%80%93%20Japanese%20ASMR.mp3",""
76778,RJ01035824,"2","5-12","","The student council president of the honor student who everyone envy is my wife.","【先生とMプレイ】誰もが羨む優等生の生徒会長が俺の嫁。清純そうな顔を歪ませて今夜も俺にマゾメスご奉仕セックスする","1->76778(0)","6->76778(1),6->76778(2)","7->76778.mp3",""
70239,RJ410166,"6","6-9-27-44-28","","Until you pee, cock ring forced erection continuous female orgasm glans torture","【亀頭責め×拘束】おもらしするまで、コックリング強制勃起連続メスイキ亀頭責め【バイノーラル】","1->70239(0)","6->70239","7->70239.mp3,6->70239(1).mp3",""
78779,RJ01036662,"2","1-6-9-28-21-38","","Blindfold restraint with a girlfriend who wants to be done","されたがり彼女と目隠し拘束甘とろいちゃらぶエッチ三昧【バイノーラル】","1->78779(0)","6->78779(1),6->78779(2),6->78779(3)","7->78779.mp3",""
74317,RJ01017725,"14","34-19-1-6-9-40-45","","Ejaculation treatment by a lewd nurse","【疲れを癒されたい夜に聞いてほしい】ドスケベナースによる射精治療～悪い菌を射精でぴゅっぴゅっ～","1->74317(0)","6->74317(1),6->74317(2),6->74317(3),6->74317(4),6->74317(5),6->74317(6),6->74317(7),6->74317(8),6->74317(9),6->74317(10),6->74317(11),6->74317(12),6->74317(13),6->74317(14),6->74317(15),6->74317(16),6->74317(17),6->74317(18)","7->74317.mp3,7->74317(1).mp3",""
51491,RJ332227,"15","19-32-6-27","","Cum Insurance Lady Kindly Gets You Off","クールに甘ヌキしてくれる“射精保険”のお姉さん【バイノーラル】","1->51491(0)","6->51491","7->51491.mp3",""
76192,RJ01032881,"16","5-34-19-1-6-46-9-27-12-13","","After School Implantation Committee Your Only Oma ○ Cock Milk Is Overflowing From Here And You Can’t Stop Crying ♪","放課後着床委員会 キミだけのおま○こからちんぽミルクがびゅるびゅる溢れてオホ声が止まらないの♪【KU100ハイレゾ】","1->76192(0)","6->76192(1),6->76192(2),6->76192(3),6->76192(4)","7->76192.mp3",""
72373,RJ437151,"17","5-19-1-6-9-27-47","","Adaruto Broadcasting Station～Pampering with Aya-nee’s Omako～","【超密着耳元吐息】あだると放送局～綾姉のおま〇こで甘やかし寝かし付け編～","1->72373(0)","6->72373","7->72373.mp3,7->72373(1).mp3",""
78704,RJ01049698,"18-19","48-19-49-28-8","","Permanent 100 Yen! Masturbating after school together ~Sakura and Mei~","永久100円!【ガチレズ!】放課後ふたりっきりでオナニー～サクラと芽衣〜","1->78704(0)","6->78704","7->78704.mp3",""
53134,RJ336256,"20","5-32-6-27","","Gravure Idol Sisters’ Reverse NTR Virgin-Corruption","ドスケベグラドル姉妹の逆寝取られ童貞いじめ邪悪好意マゾ堕とし","1->53134(0)","6->53134(1)","7->53134.mp3,7->53134omake.mp3",""
57648,RJ362188,"21","19-25-32-6-9-20-50-51","4","Getting Married and Making Babies with an Aloof Princess","“クールな”お姫様と結婚して、オナホおまんこでイチャラブ子作りえっちが仕事になる生活♪【バイノーラル】","1->57648(0)","6->57648(1)","7->57648.mp3,6->57648omake.mp3",""
32791,RJ299164,"4","19-32-6-9-27-50-51","4","Marry the Princess, and Start Your Job as a Baby-maker","お姫様と結婚してオナホおまんこでイチャラブ子作りえっちが仕事になる生活♪【バイノーラル】","8->32791(0)","8->32791(1)","9->32791.mp3",""
50613,RJ328653,"22","5-1-6-9","","Premium App ￥JO-KOUSAI ~ You’ve matched with Mirin-san~","【円光】優良アプリ￥ジョ校祭~みりんさんとマッチングしました。【プレミアムフォーリー】","8->50613(0)","8->50613(1)","9->50613.mp3,9->50613omake.mp3",""
75401,RJ438225,"2","5-34-19-6","","That Gallant Girl Gets Brainhack Corrupted Into A Cumdump Sex Slave","気になるあの子を、常識改変で肉奴隷に堕とす","8->75401(0)","8->75401(1)","9->75401.mp3",""
71765,RJ427661,"23","10-5-34-19-1-43","5","The story of how the goddess came out when I dropped the Masturbator into the pond and rewarded me as an honest person ~","お池のオナホ女神様 ～オナホを池に落としたら女神様が出てきて正直者の俺にご褒美くれた話～","8->71765(0)","8->71765(1),8->71765(2)","9->71765.mp3,10->tr1_%E5%8F%AA%E6%98%AF%E6%8A%8A%E9%A3%9B%E6%A9%9F%E6%9D%AF%E5%BC%84%E6%8E%89%E5%88%B0%E6%B1%A0%E5%AD%90%E8%A3%A1%EF%BC%88%E6%9C%89%E9%9F%B3%E6%95%88%EF%BC%89.wav,10->tr2_%E6%8F%92%E5%85%A5%E9%A3%9B%E6%A9%9F%E6%9D%AF%E5%89%8D%E5%80%8D%E5%8F%97%E5%AF%B5%E6%84%9B%E7%9A%84%E9%9B%9E%E5%B7%B4%EF%BC%88%E6%9C%89%E9%9F%B3%E6%95%88%EF%BC%89.wav,10->tr3_%E6%AF%94%E9%A3%9B%E6%A9%9F%E6%9D%AF%E9%82%84%E8%AE%9A%E7%9A%84%E5%A5%B3%E7%A5%9E%E5%A4%A7%E4%BA%BA%E8%B6%85%E7%B5%95%E5%B0%8F%E7%A9%B4%EF%BC%88%E6%9C%89%E9%9F%B3%E6%95%88%EF%BC%89.wav,10->tr4_%E7%94%A8%E5%8C%96%E7%82%BA%E9%A3%9B%E6%A9%9F%E6%9D%AF%E7%9A%84%E8%82%9B%E9%96%80%E9%80%B2%E8%A1%8CSEX%E7%88%BD%E5%BE%97%E6%AD%BB%E5%8E%BB%E6%B4%BB%E4%BE%86%EF%BC%88%E6%9C%89%E9%9F%B3%E6%95%88%EF%BC%89.wav,10->tr5_%E5%92%8C%E9%A3%9B%E6%A9%9F%E6%9D%AF%E5%A5%B3%E7%A5%9E%E5%86%8D%E7%9B%B8%E6%9C%83%E5%90%A7%EF%BC%88%E6%9C%89%E9%9F%B3%E6%95%88%EF%BC%89.wav",""
53993,RJ338130,"2","5-34-6-9-52-14","","Emergency Fertilization Declaration!! Big brother! I want the vaccine to be released quickly!","緊急受精宣言!! お兄ちゃん! ワクチン早くナカに出してぇ♪","8->53993(0)","8->53993(1),8->53993(2)","9->53993.mp3",""
77015,RJ01035581,"24","1-53","","Take back the adulterous wife who was taken down and let her know Kimesek","寝取られた不倫妻を取り戻してわからせキメセク","8->77015(0)","8->77015(1)","9->77015.mp3",""
76368,RJ01025198,"25","19-1-53-6-9-14-12","","While My Wife Was Absent, I Got In Close Contact With My Bride’s Bruise And Cute Younger Sister JK For 2 Days Of Raw Fucking Spree","妻が不在の間に嫁のあざと可愛い妹JKとずっと密着中出し生ハメまくる2日間【オホ声】","8->76368(0)","8->76368(1)","9->76368.mp3,9->76368omake.mp3",""
73353,RJ01008483,"25","19-1-53-6-9-14","","Married Woman Miss Menes’ Soggy Kneading Treatment ~ Best Friend’s Wife’s Vulgar Back Ohiki Course 90 Minutes ~","人妻メンエス嬢のねっとりこねくり寸止め施術〜親友妻の下品に貪る裏オホイキコース90分〜","8->73353(0)","8->73353(1)","9->73353.mp3,9->73353omake.mp3",""
72361,RJ436559,"25","19-1-53-9-27-14","","When I went to Menes, I was my best friend’s wife ~Secret close contact sticky penis massage~","メンエス行ったら親友の奥さんだった〜秘密の密着ねっとりおちんぽマッサージ〜","8->72361(0)","8->72361(1)","9->72361.mp3,9->72361omake.mp3",""
61735,RJ377982,"16","5-1-32-6-9-33","","All Night In A Shared Room Hotel With A Beautiful Busty Boss","デキる美人な巨乳上司と相部屋ホテルで一晩中濃厚えっち","8->61735(0)","8->61735(1)","9->61735.mp3",""
73273,RJ01007071,"26","19-1-6-3-4-20","","I can’t believe a married cheerleader who blames me makes such a vulgar voice...","俺を責めてくれる人妻チアガールがあんな下品なオホ声出すなんて…【ハニトラ注意】","11->73273(0)","11->73273(1)","12->73273.mp3",""
58273,RJ360152,"6","5-1-6-12-54","","I want you to play compensated dating with me。","私と、援交ごっこ、して欲しいの。【バイノーラル】","11->58273(0)","11->58273(1)","12->58273.mp3",""
60827,RJ377486,"27","5-6-12","","Literary Girl Airi Is Absolutely Fixed And Becomes A Slut","【超密着】文系少女あいりに絶対固定で痴女られる【超密着ちんぽ挿れっぱなし耳奥舐め】","11->60827(0)","11->60827(1)","12->60827.mp3",""
38876,RJ310861,"6","19-55-32-56-9-37-57-28-58-12","6","Perverted pervert club activity of perverted cheerleader girl♪ ~Neat and clean school idol was perverted and the lowest exhibitionist♪~","ドスケベチアガールのエロエロ変態部活動♪～清楚な学園のアイドルはド変態で最っ低な露出狂でした♪～","11->38876(0)","11->38876(3),11->38876(1),11->38876(2)","12->38876.mp3",""
75602,RJ01028850,"28","5-53-41","","I Became A Lover Relationship With My Wife’s Sister Through Cheating Sex!?","お嫁さん妹と両想い浮気セックスで恋人関係になった⁉【バイノーラル】【青春純愛妄想系】","11->75602(0)","11->75602(1)","12->75602.mp3",""
76364,RJ01024466,"9","19-1-9-27-24-14-59-12-13-54","","Slave Diary Of A Neat And Clean Honor Student","清楚な優等生の隷属日記","11->76364(0)","11->76364(1),11->76364(2)","12->76364.mp3",""
48474,RJ324445,"9","19-32-46-9-24-20-12","","Soggy whispering masturbation support for a sober glasses girl who loves you","あなたのことが大好きな地味爆乳眼鏡っ娘後輩のねっとり囁きオナニーサポート","11->48474(0)","11->48474(1)","12->48474.mp3",""
33106,RJ260793,"29","6-9-24-47","","Please 「squeeze」 this material","この資料を「搾精」してください","11->33106(0)","11->33106(1)","12->33106.mp3",""
78234,RJ01046110,"3-30","34-19-1-32-6-9-4-20-14","7","A story about a big-breasted lewd lady and her mother who flatter and serve a dirty cock♪","【10日間限定4大特典付き!】巨乳ドスケベお嬢様とその母親がチンカス汚ちんぽに媚び媚びご奉仕してくれるお話♪【KU100】","11->78234(0)","11->78234(1),11->78234(2),11->78234(3)","12->78234-t1.mp3,12->78234-t2.mp3,12->78234omake.mp3",""
78915,RJ01021775,"16-6-30","34-19-32-6-9-23-60-27-59-12-54","","Hypnosis Omanko Collection～Absolute Obedience JK Masturbation Harem～","【密着淫語囁き】催眠おまんこコレクション ～絶対服従JKオナホハーレム～【KU100】","11->78915(0)","11->78915(1)","12->78915.mp3",""
62234,RJ380176,"30","19-1-32-20","7","A story where a busty lewd young lady flatters and serves a dirty cock♪","巨乳ドスケベお嬢様がチンカス汚ちんぽに媚び媚びご奉仕してくれるお話♪【KU100】","13->62234(0)","13->62234(1),13->62234(2),13->62234(3)","14->62234(0).mp3,13->62234omake.mp3",""
56709,RJ350926,"30","34-19-1-32-3-24-4","7","A story about a busty junior cheerleader and her mother serving dirty dicks♪","巨乳後輩チアガールとその母親がチンカス汚ちんぽにご奉仕してくれるお話♪【KU100】","13->56709(0)","13->56709(1),13->56709(2),13->56709(3),13->56709(4)","14->56709.mp3",""
33002,RJ298433,"31","5-1-6-37-29","","Temptation! Amateur Succubus’ First Sex Job","【ASMR・バイノーラル音声】てんぷてーしょん!～新人サキュバスはじめての濃厚ご奉仕性接待～","13->33002(0)","13->33002(1)","14->33002.mp3",""
54338,RJ337317,"9-32","19-1-61-32-20-12-62-63","","A voice where the virginity is eaten by the excessive Kayoshi sisters of the swimming club♪","水泳部の過剰なかよしお姉さんズに童貞を喰べられちゃう音声♪","13->54338(0)","13->54338(1)","14->54338.mp3",""
53983,RJ336994,"33","19-1-32-6-9-64-20-7-54","","Service Maid’s Tsundere Desire Sex ～Master, there’s no such thing as I!～","【KU100】ご奉仕メイドのツンデレ欲望エッチ ～ご主人さま、イってなんかないんだからねっ!～","13->53983(0)","13->53983(1)","14->53983.mp3",""
54342,RJ337731,"9","5-19-1-6-9-58-65","8","Dirty Little Female Teacher Nanako Wants To Teach Virgin-kun Pleasure Sex~","【KU100】あなた専用おち●ぽ生ハメ係 ～ドスケベ女教師ななこは童貞くんに快楽えっちを教えたい～","13->54342(0)","13->54342(1)","14->54342.mp3",""
60604,RJ374925,"16-30","5-66-6-67-23-37-58-12","","Penis-loving honor student x Penis-like★Gal～W Bitch Student JK’s Dirty Reverse Sexual Activity Guidance～","おちんぽ大好き優等生×ちんぽちょーすき★ギャル～Wビッチ教え子JKのドスケベ逆性活指導～【KU100】","13->60604(0)","13->60604(1)","14->60604.mp3",""
70437,RJ426098,"30","5-19-1-6-20-12-13-41-42","","Super Whisper! ~Student JK Saegusa Sisters and Katekyo Disqualified Immoral Sex~","超囁き!～教え子JK七草姉妹とカテキョー失格背徳えっち～","13->70437(0)","13->70437(1),13->70437(2),13->70437(3),13->70437(4),13->70437(5),13->70437(6)","14->70437.mp3",""
